identical,similar,new,deleted,simiScore
activity,cn.wps.moffice.main.integralwalls.Font.FontActivity,0,1,0
activity,cn.wps.moffice.docer.activity.ImagePreviewActivity,0,1,0
activity,cn.wps.moffice.main.local.home.phone.header.entop.HomeSettingActivity,0,1,0
activity,cn.wps.moffice.main.local.home.CCHomeTransferFileActivity,0,1,0
activity,cn.wps.moffice.common.premium.PremiumGuideActivity,0,1,0
activity,cn.wps.moffice.debug.DebugHomeActivity,0,1,0
activity,cn.wps.moffice.main.cloud.roaming.login.core.loginanalyze.LoginAnalyzeMainActivity,0,1,0
activity,cn.wps.moffice.main.local.home.phone.header.entop.RecentlyUseActivity,0,1,0
activity,cn.wps.moffice.main.scan.ui.IDPhotoOverseaActivity,0,1,0
activity,cn.wps.moffice.main.foreignmembership.orders.MyOrdersActivity,0,1,0
activity,cn.wps.moffice.plugin.cloudPage.wpsclouddoc.NewCloudSettingsActivity,0,1,0
activity,cn.wps.moffice.main.startpage.cmpgdpr.CmpPageActivity,0,1,0
activity,cn.wps.moffice.about.LicensesActivity,0,1,0
activity,com.facebook.CustomTabActivity,0,1,0
activity,com.google.android.gms.ads.AdActivity,0,1,0
activity,cn.wps.moffice.debug.DebugActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.activity.TemplatePreviewActivity,0,1,0
activity,cn.wps.moffice.processtext.ProcessNewPreTextActivity,0,1,0
activity,cn.wps.moffice.processtext.ProcessNewTextActivity,0,1,0
activity,cn.wps.moffice.main.login.relogin.ReLoginDialog,0,1,0
activity,cn.wps.moffice.plugin.cloudPage.newpage.sync.CloudPageSyncActivity,0,1,0
activity,cn.wps.moffice.sonic.SonicWebViewActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.newfile.activity.EnTemplateNewFileActivity,0,1,0
activity,cn.wps.moffice.main.local.home.phone.v2.ext.compressedshare.CompressBatchShareIntroActivity,0,1,0
activity,cn.wps.moffice.main.fileconvert.ui.FileConvertMainActivity,0,1,0
activity,cn.wps.moffice.debug.mvp.MvpTestActivity,0,1,0
activity,cn.wps.moffice.main.docer.H5TemplateRootActivity,0,1,0
activity,com.facebook.CustomTabMainActivity,0,1,0
activity,easypay.AnalyticsManagerInfoDisplayActivity,0,1,0
activity,cn.wps.moffice.main.fileconvert.ui.FileConvertPDFDispatchActivity,0,1,0
activity,com.unity3d.services.ads.adunit.AdUnitTransparentActivity,0,1,0
activity,cn.wps.moffice.main.integralwalls.earn.IntegralWallsActivity,0,1,0
activity,cn.wps.moffice.docer.activity.OvsOnlineH5Activity,0,1,0
activity,cn.wps.moffice.pay.loginguide.NewUserPayGuideActivity,0,1,0
activity,cn.wps.moffice.plugin.about.gdpr.GDPRUserProvisionSettingActivity,0,1,0
activity,cn.wps.moffice.common.premium.upgrade.ui.PremiumNeedUpgradeActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.newfile.activity.ShortcutEnTemplateNewFileActivity,0,1,0
activity,cn.wps.moffice.edu.EduSettingActivity,0,1,0
activity,cn.wps.moffice.main.local.home.pdftool.PDFToolsActivity,0,1,0
activity,cn.wps.moffice.bundle.ModuleInstallConfirmActivity,0,1,0
activity,com.unity3d.services.ads.adunit.AdUnitSoftwareActivity,0,1,0
activity,cn.wps.moffice.main.local.home.phone.header.entop.HomeCommonActivity,0,1,0
activity,cn.wps.moffice.func.pdf.OverseaPayActivity,0,1,0
activity,cn.wps.moffice.main.local.MemoDismissActivity,0,1,0
activity,cn.wps.moffice.offlinetransfer.EndActivity,0,1,0
activity,cn.wps.moffice.plugin.cloudPage.wpsclouddoc.CloudDocSettingActivity,0,1,0
activity,cn.wps.moffice.main.cloud.drive.open.ipcontrol.WpsDriveWithSwitchActivity,0,1,0
activity,com.google.android.gms.common.api.GoogleApiActivity,0,1,0
activity,com.android.billingclient.api.ProxyBillingActivity,0,1,0
activity,cn.wps.moffice.plugin.about.gdpr.GDPRAdDataSettingActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.activity.TemplateMineActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.activity.TemplateWeekChoiceActivity,0,1,0
activity,com.google.android.play.core.missingsplits.PlayCoreMissingSplitsActivity,0,1,0
activity,cn.wps.moffice.offlinetransfer.WifiDirectActivity,0,1,0
activity,cn.wps.moffice.offlinetransfer.ReceiverActivity,0,1,0
activity,com.unity3d.services.ads.adunit.AdUnitActivity,0,1,0
activity,cn.wps.moffice.appupdate.iau.GoogleIAUActivity,0,1,0
activity,cn.wps.moffice.main.local.assistant.ext.OverseaAssistantComponentActivity,0,1,0
activity,cn.wps.moffice.debug.ab.AbMockConfigActivity,0,1,0
activity,cn.wps.moffice.plugin.cloudPage.wpsclouddoc.usage.CloudSpaceManageActivity,0,1,0
activity,cn.wps.moffice.plugin.cloudPage.newpage.NewCloudSettingNewActivity,0,1,0
activity,cn.wps.moffice.main.local.appsetting.aboutsoft.AboutSoftwareActivity,0,1,0
activity,cn.wps.moffice.common.comptexit.view.BackLocalToCloudActivity,0,1,0
activity,cn.wps.moffice.bundle.manage.ui.DynamicManageActivity,0,1,0
activity,cn.wps.moffice.main.push.explore.H5PayWebViewActivity,0,1,0
activity,cn.wps.moffice.main.cloud.storage.core.service.internal.GoogleLoginTransferActivity,0,1,0
activity,cn.wps.moffice.main.local.home.phone.application.HomeAppsActivity,0,1,0
activity,cn.wps.kspaybase.common.KspayWebActivity,0,1,0
activity,com.linecorp.linesdk.auth.internal.LineAuthenticationCallbackActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.activity.EnTemplateOnLineHomeActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.activity.EnTemplateListActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.newfile.activity.TemplateCustomerEnActivity,0,1,0
activity,cn.wps.moffice.docer.activity.OvsH5Activity,0,1,0
activity,cn.wps.moffice.main.fileconvert.ui.FileConvertGuideDispatchActivity,0,1,0
activity,cn.wps.moffice.plugin.cloudPage.newpage.privilege.CloudPagePrivilegeDetailActivity,0,1,0
activity,com.google.android.gms.tagmanager.TagManagerPreviewActivity,0,1,0
activity,cn.wps.moffice.main.local.MemoTransferActivity,0,1,0
activity,cn.wps.moffice.main.classroom.homework.HomeworkListActivity,0,1,0
activity,cn.wps.moffice.main.cloud.EnDocsDownloadActivity,0,1,0
activity,cn.wps.moffice.processtext.ProcessTxtDialogActivity,0,1,0
activity,cn.wps.moffice.split.ml.translate.view.SlipMLKitActivity,0,1,0
activity,cn.wps.moffice.common.google.pay.restore.RestorePurchaseActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.activity.TemplateMyChargeActivity,0,1,0
activity,cn.wps.moffice.offlinetransfer.EntryActivity,0,1,0
activity,cn.wps.moffice.main.integralwalls.redeem.RedeemPointsActivity,0,1,0
activity,com.mopub.mobileads.S2SInterstitialActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.activity.ChargeSuccessActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.activity.EnTemplateSearchActivity,0,1,0
activity,com.facebook.FacebookActivity,0,1,0
activity,cn.wps.moffice.foreigntemplate.newfile.fragment.view.TemplateNewListActivity,0,1,0
activity,com.paytm.pgsdk.PaytmPGActivity,0,1,0
service,cn.wps.moffice.vas.VasOverseaService,0,1,0
service,cn.wps.moffice.bundle.SplitInstallService2,0,1,0
service,com.google.firebase.iid.FirebaseInstanceIdService,0,1,0
service,com.google.android.gms.auth.api.signin.RevocationBoundService,0,1,0
service,com.paytm.pgsdk.IntentServicePostNotification,0,1,0
service,com.google.android.gms.measurement.AppMeasurementJobService,0,1,0
service,com.google.android.gms.tagmanager.TagManagerService,0,1,0
service,cn.wps.moffice.main.scan.ipc.FlattenRemoteService,0,1,0
service,com.google.mlkit.common.internal.MlKitComponentDiscoveryService,0,1,0
service,cn.wps.moffice.notification.MemoNotificationService,0,1,0
service,cn.wps.moffice.fanyi.service.FileTranslateService,0,1,0
service,com.google.android.gms.measurement.AppMeasurementService,0,1,0
service,easypay.utils.AnalyticsService,0,1,0
service,cn.wps.moffice.common.comptexit.radar.view.controller.WiFiBackUploadService,0,1,0
service,easypay.utils.EasypayLoaderService,0,1,0
service,com.google.android.datatransport.runtime.backends.TransportBackendDiscovery,0,1,0
service,easypay.utils.EasyPayConfigDownloader,0,1,0
service,cn.wps.moffice.common.ml.service.MLTranslateService,0,1,0
